earliest_filing_year,ctry_code,cpc_green,count
2013,PA,Other,7.85833333333333333336
2014,PA,Other,6.16666666666666666662
2015,PA,Other,6.49999999999999999998
2016,PA,Other,52.46388888888888888904
2017,PA,Other,11.95000000000000000005
2018,PA,Other,122.02261904761904761887
9999,PA,Other,5.00000000000000000000
1890,PE,Other,1.00000000000000000000
1915,PE,Other,1.00000000000000000000
1916,PE,Other,1.00000000000000000000
1944,PE,Other,1.00000000000000000000
1950,PE,Other,1.00000000000000000000
1954,PE,Other,1.00000000000000000000
1959,PE,Other,1.99999999999999999999
1961,PE,Other,0.99999999999999999999
1962,PE,Other,0.50000000000000000001
1964,PE,Other,1.00000000000000000000
1965,PE,Other,1.00000000000000000000
1966,PE,Other,2.00000000000000000001
1967,PE,Other,0.99999999999999999999
1968,PE,Other,0.50000000000000000000
1969,PE,Other,0.99999999999999999999
1970,PE,Other,1.50000000000000000000
1971,PE,Other,3.50000000000000000002
1972,PE,Other,0.33333333333333333333
1973,PE,Other,4.66666666666666666666
1974,PE,Other,5.50000000000000000003
1975,PE,Other,2.99999999999999999999
1976,PE,Other,4.30000000000000000001
1977,PE,Other,0.50000000000000000000
1978,PE,Other,1.50000000000000000002
1979,PE,Other,4.00000000000000000000
1980,PE,Other,2.99999999999999999998
1981,PE,Other,2.00000000000000000000
1982,PE,Other,1.00000000000000000000
1983,PE,Other,1.00000000000000000000
1984,PE,Other,1.50000000000000000000
1986,PE,Other,1.00000000000000000000
1987,PE,Other,3.50000000000000000000
1988,PE,Other,4.41666666666666666664
1989,PE,Other,4.50000000000000000000
1990,PE,Other,7.50000000000000000005
1991,PE,Other,7.00000000000000000000
1992,PE,Other,3.00000000000000000002
1993,PE,Other,6.83333333333333333331
1994,PE,Other,23.16666666666666666665
1995,PE,Other,25.49999999999999999999
1996,PE,Other,21.41666666666666666670
1997,PE,Other,23.27083333333333333332
1998,PE,Other,15.83333333333333333333
1999,PE,Other,23.49999999999999999999
2000,PE,Other,24.57894736842105263155
2001,PE,Other,24.49999999999999999997
2002,PE,Other,25.00000000000000000004
2003,PE,Other,27.50000000000000000001
2004,PE,Other,33.48333333333333333328
2005,PE,Other,35.58333333333333333332
2006,PE,Other,25.02116402116402116405
2007,PE,Other,27.69999999999999999982
2008,PE,Other,19.16017316017316017311
2009,PE,Other,37.33333333333333333337
2010,PE,Other,37.72380952380952380948
2011,PE,Other,38.66666666666666666672
2012,PE,Other,48.96875000000000000005
2013,PE,Other,65.32500000000000000004
2014,PE,Other,94.96666666666666666667
2015,PE,Other,113.64502164502164502150
2016,PE,Other,114.11111111111111111111
2017,PE,Other,111.16666666666666666660
2018,PE,Other,123.16666666666666666677
2019,PE,Other,40.00000000000000000000
9999,PE,Other,5.00000000000000000000
1997,PF,Other,2.00000000000000000000
